IncLevel1	IncLevel2	IncLevelDifference
0.438,0.348,0.256,0.379	0.137,0.308,0.342,0.387	0.062
0.004,0.017,0.012,0.015	0.034,0.019,0.007,0.013	-0.006
0.038,0.052,0.071,0.047	0.088,0.075,0.073,0.044	-0.018
0.088,0.094,0.223,0.106	0.237,0.23,0.253,0.272	-0.12
0.142,0.121,0.106,0.077	0.208,0.175,0.172,0.2	-0.077
0.022,0.016,0.032,0.025	0.045,0.019,0.027,0.02	-0.004
0.123,0.155,0.185,0.101	0.194,0.182,0.163,0.144	-0.03
0.936,0.901,0.922,0.842	0.87,0.968,1.0,0.951	-0.047
0.124,0.152,0.164,0.081	0.184,0.183,0.131,0.131	-0.027
0.048,0.063,0.071,0.03	0.087,0.079,0.094,0.085	-0.033
0.735,0.71,0.744,0.72	0.712,0.777,0.673,0.781	-0.009
1.0,0.901,1.0,1.0	1.0,1.0,1.0,0.912	-0.003
0.0,0.029,0.0,0.0	0.031,0.0,0.0,0.0	-0.0
0.0,0.396,1.0,0.0	NA,NA,1.0,0.0	-0.151
0.123,0.162,0.437,0.112	0.456,0.255,0.324,0.485	-0.172
